scenario_key,down_pct,fill_rate,appreciation,furnish,is_empty,days_in_year,owner_days,occupied_days,gross_rent,fixed_costs,variable_costs,total_operating_outflow,net_cash_flow_annual,operating_pnl_annual,sale_price,adjusted_basis,gain_realized,suspended_pal,net_proceeds_after_tax,avg_annual_economic_cost,rent_equivalent_val,economic_premium,incremental_benefit_cash
0.2_0.7_0.01_30000.0,0.2,0.7,0.01,30000.0,False,365,28,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,380608.04999798856,296102.2727272727,57863.21377085667,242327.65383818143,155762.59978068323,6777.553741593712,8334.0,-1556.4462584062876,9150.90532544379
0.2_0.7_0.01_30000.0,0.2,0.7,0.01,30000.0,False,365,28,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,380608.04999798856,296102.2727272727,57863.21377085667,242327.65383818143,155762.59978068323,6777.553741593712,8334.0,-1556.4462584062876,9150.90532544379
0.2_0.7_0.01_30000.0,0.2,0.7,0.01,30000.0,False,365,42,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,380608.04999798856,296102.2727272727,57863.21377085667,242327.65383818143,155762.59978068323,6777.553741593712,12501.0,-5723.446258406288,9150.90532544379
0.2_0.7_0.03_8000.0,0.2,0.7,0.03,8000.0,False,365,28,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,436605.2222258289,296102.2727272727,109940.5839427482,220327.65383818143,189709.02024310292,828.0651041051855,8334.0,-7505.934895894815,9150.90532544379
0.2_0.7_0.03_8000.0,0.2,0.7,0.03,8000.0,False,365,28,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,436605.2222258289,296102.2727272727,109940.5839427482,220327.65383818143,189709.02024310292,828.0651041051855,8334.0,-7505.934895894815,9150.90532544379
0.2_0.7_0.03_8000.0,0.2,0.7,0.03,8000.0,False,365,42,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,436605.2222258289,296102.2727272727,109940.5839427482,220327.65383818143,189709.02024310292,828.0651041051855,12501.0,-11672.934895894814,9150.90532544379
0.2_0.7_0.03_16000.0,0.2,0.7,0.03,16000.0,False,365,28,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,436605.2222258289,296102.2727272727,109940.5839427482,228327.65383818143,191789.02024310292,930.9222469623284,8334.0,-7403.077753037672,9150.90532544379
0.2_0.7_0.03_16000.0,0.2,0.7,0.03,16000.0,False,365,28,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,436605.2222258289,296102.2727272727,109940.5839427482,228327.65383818143,191789.02024310292,930.9222469623284,8334.0,-7403.077753037672,9150.90532544379
0.2_0.7_0.03_16000.0,0.2,0.7,0.03,16000.0,False,365,42,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,436605.2222258289,296102.2727272727,109940.5839427482,228327.65383818143,191789.02024310292,930.9222469623284,12501.0,-11570.07775303767,9150.90532544379
0.2_0.7_0.03_30000.0,0.2,0.7,0.03,30000.0,False,365,28,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,436605.2222258289,296102.2727272727,109940.5839427482,242327.65383818143,195429.02024310292,1110.9222469623285,8334.0,-7223.077753037672,9150.90532544379
