key,weeks,appreciation,occupancy,furnish,rent_alternative,is_empty,net_cash_flow,avg_annual_econ_cost,econ_premium,net_sale_proceeds,gross_revenue,fixed_costs,variable_costs,tax_recapture,tax_ltcg,tax_saved_pal,sale_price
2_weeks_0.03_0.7_8000.0,2,0.03,0.7,8000.0,5000.0,False,-18754.502456759164,10301.760072759776,5301.760072759776,177800.44668799572,22501.315789473683,31686.509035706535,9569.309210526315,18943.18181818182,6833.571334004184,56392.999134729034,436605.2222258289
2_weeks_0.03_0.7_16000.0,2,0.03,0.7,16000.0,5000.0,False,-18754.502456759164,11547.474358474063,6547.474358474063,179880.44668799572,22501.315789473683,31686.509035706535,9569.309210526315,20943.18181818182,5233.571334004184,58872.999134729034,436605.2222258289
2_weeks_0.03_0.7_30000.0,2,0.03,0.7,30000.0,5000.0,False,-18754.502456759164,13727.474358474066,8727.474358474066,183520.4466879957,22501.315789473683,31686.509035706535,9569.309210526315,24443.18181818182,2433.571334004184,63212.999134729034,436605.2222258289
2_weeks_0.05_0.7_8000.0,2,0.05,0.7,8000.0,5000.0,False,-18754.502456759164,3614.74888762376,-1385.2511123762401,224609.52498394783,22501.315789473683,31686.509035706535,9569.309210526315,18943.18181818182,18535.840907992217,56392.999134729034,499520.6500429689
2_weeks_0.05_0.7_16000.0,2,0.05,0.7,16000.0,5000.0,False,-18754.502456759164,4860.463173338046,-139.53682666195436,226689.52498394783,22501.315789473683,31686.509035706535,9569.309210526315,20943.18181818182,16935.840907992217,58872.999134729034,499520.6500429689
2_weeks_0.05_0.7_30000.0,2,0.05,0.7,30000.0,5000.0,False,-18754.502456759164,7040.463173338046,2040.4631733380456,230329.52498394783,22501.315789473683,31686.509035706535,9569.309210526315,24443.18181818182,14135.840907992217,63212.999134729034,499520.6500429689
2_weeks_0.01_0.75_8000.0,2,0.01,0.75,8000.0,5000.0,False,-17612.216272548638,15337.35695742876,10337.35695742876,134555.26520583915,24108.55263157895,31686.509035706535,10034.259868421053,14465.803442714168,0.0,53914.23811499218,380608.04999798856
2_weeks_0.01_0.75_16000.0,2,0.01,0.75,16000.0,5000.0,False,-17612.216272548638,16525.928386000185,11525.928386000185,137035.26520583918,24108.55263157895,31686.509035706535,10034.259868421053,14465.803442714168,0.0,56394.238114992186,380608.04999798856
2_weeks_0.01_0.75_30000.0,2,0.01,0.75,30000.0,5000.0,False,-17612.216272548638,18605.928386000185,13605.928386000185,141375.26520583918,24108.55263157895,31686.509035706535,10034.259868421053,14465.803442714168,0.0,60734.238114992186,380608.04999798856
2_weeks_0.03_0.75_8000.0,2,0.03,0.75,8000.0,5000.0,False,-17612.216272548638,9513.58260565452,4513.582605654519,175321.68566825884,24108.55263157895,31686.509035706535,10034.259868421053,18943.18181818182,6833.571334004184,53914.23811499218,436605.2222258289
2_weeks_0.03_0.75_16000.0,2,0.03,0.75,16000.0,5000.0,False,-17612.216272548638,10759.2968913688,5759.2968913688,177401.68566825887,24108.55263157895,31686.509035706535,10034.259868421053,20943.18181818182,5233.571334004184,56394.238114992186,436605.2222258289
2_weeks_0.03_0.75_30000.0,2,0.03,0.75,30000.0,5000.0,False,-17612.216272548638,12939.2968913688,7939.2968913688,181041.68566825887,24108.55263157895,31686.509035706535,10034.259868421053,24443.18181818182,2433.571334004184,60734.238114992186,436605.2222258289
