facility_id,month_year_fmt,ndc,rb_spend,rb_units
OR2008,2024-01,63323017876,102.42,3.0
NY2507,2024-01,65219014810,114.79,1.0
IL2013,2024-01,65219047220,44.56,1.0
CA2047,2024-01,63323068610,33.29,1.0
NY5073,2024-01,63323082476,129.58,2.0
763767,2024-01,65219047030,500.56,8.0
DE0002,2024-01,63323068810,210.12,4.0
642017,2024-01,63323082475,43.58,1.0
KY0215,2024-01,63323062655,87.78,1.0
LA0120,2024-01,63323068810,43.5,1.0
AD9998,2024-01,63323062610,140.25,5.0
CA0038,2024-01,65219047410,24.25,1.0
IN2022,2024-01,63323066910,44.47,1.0
721171,2024-01,63323068610,217.7,5.0
816652,2024-01,63323086910,34.05,1.0
CA2303,2024-01,65219038910,257.34,2.0
AD8360,2024-01,65219047220,127.77000000000001,3.0
809162,2024-01,65219011810,86.0,1.0
605170,2024-01,65219047910,46.84,2.0
605821,2024-01,65219014610,86.1,1.0
AY9070,2024-01,65219047220,58.84,1.0
667853,2024-01,65219025810,1807.92,4.0
NY5017,2024-01,63323086710,102.14999999999999,3.0
743741,2024-01,63323086910,132.0,3.0
658500,2024-01,63323053075,1154.2000000000003,29.0
NC0121,2024-01,63323068610,44.06,1.0
657850,2024-01,63323068310,346.96000000000004,8.0
603563,2024-01,63323066910,36.5,1.0
AT2416,2024-01,63323068610,174.8,4.0
FL0046,2024-01,63323068310,33.32,1.0
721167,2024-01,63323053075,115.5,3.0
KY0106,2024-01,63323086974,39.3,1.0
627576,2024-01,63323062625,56.48,1.0
734539,2024-01,65219038910,164.62,1.0
652790,2024-01,63323087074,29.01,1.0
682520,2024-01,63323086910,102.14999999999999,3.0
682039,2024-01,63323017876,105.0,2.0
AK2001,2024-01,63323053075,80.0,1.0
636001,2024-01,63323082474,220.12,4.0
AE0026,2024-01,63323086910,242.54999999999998,5.0
717064,2024-01,63323017876,186.84999999999997,5.0
695923,2024-01,63323062655,80.0,1.0
AU5273,2024-01,63323066910,38.69,1.0
737167,2024-01,63323068810,51.68,1.0
695228,2024-01,65219047410,77.76,2.0
CA2655,2024-01,63323062625,102.0,1.0
837803,2024-01,63323053075,77.9,2.0
657849,2024-01,65219047220,80.0,1.0
681923,2024-01,63323068310,142.5,3.0
709151,2024-01,63323053075,76.4,2.0
CA2036,2024-01,65219047030,241.88,4.0
NY0025,2024-01,63323053075,92.4,2.0
IA2184,2024-01,63323053075,45.36,1.0
610793,2024-01,63323082475,39.8,1.0
TX2005,2024-01,63323087310,34.05,1.0
701379,2024-01,63323068810,42.66,1.0
NE2044,2024-01,63323068610,44.44,1.0
TX0207,2024-01,65219047410,116.22,6.0
765266,2024-01,65219047410,103.44,3.0
AC2107,2024-01,63323066910,44.47,1.0
MS0062,2024-01,63323066910,36.5,1.0
TX0453,2024-01,63323068610,37.96,1.0
IA0002,2024-01,65219047410,393.12,14.0
AZ2050,2024-01,63323082475,76.86,2.0
729632,2024-01,63323062610,45.6,1.0
AN2299,2024-01,65219047030,244.48,4.0
NU2044,2024-01,63323053075,92.4,2.0
AR0023,2024-01,63323066910,46.431,1.0
834880,2024-01,65219011810,376.4,4.0
GA0193,2024-01,63323053075,79.1,2.0
630398,2024-01,63323068810,46.11,1.0
631298,2024-01,63323082475,199.53000000000003,3.0
630289,2024-01,63323068610,66.8,2.0
IA2059,2024-01,63323068610,133.72,4.0
WA2031,2024-01,63323068610,33.11,1.0
658413,2024-01,63323068610,47.5,1.0
AR0045,2024-01,63323068310,98.94,3.0
630394,2024-01,63323068810,46.11,1.0
NC0175,2024-01,63323062625,63.28,1.0
809788,2024-01,63323066910,35.21,1.0
KY0106,2024-01,63323068610,34.16,1.0
659494,2024-01,65219047220,221.96999999999997,3.0
AR0067,2024-01,65219014810,86.1,1.0
NC0121,2024-01,63323053075,74.2,1.0
LA0328,2024-01,63323017876,122.304,4.0
AF1487,2024-01,63323062610,25.85,1.0
843384,2024-01,65219047220,48.97,1.0
716320,2024-01,65219047220,42.71,1.0
620029,2024-01,63323082474,0.0,0.0
690177,2024-01,63323068610,260.76,6.0
CA2036,2024-01,63323053075,92.2,2.0
AC0236,2024-01,63323068610,44.94,1.0
668739,2024-01,63323082476,25.85,1.0
AA4498,2024-01,63323017876,114.4,4.0
717064,2024-01,63323062625,144.8,2.0
638186,2024-01,65219047220,149.32,2.0
816116,2024-01,65219047030,269.64,4.0
712582,2024-01,63323053075,116.94,3.0
619719,2024-01,65219047030,65.7,1.0
AM0992,2024-01,65219047220,48.91,1.0
TX0549,2024-01,65219047410,75.36,3.0
KY0106,2024-01,63323087374,39.3,1.0
NY2045,2024-01,65219047030,1317.6899999999998,17.0
AB9983,2024-01,65219047030,130.42,2.0
611642,2024-01,63323053075,42.0,1.0
KY0008,2024-01,63323053075,73.2,1.0
804250,2024-01,63323082476,64.79,1.0
WV0042,2024-01,65219047410,47.98,2.0
714209,2024-01,65219014810,173.68,2.0
MD0100,2024-01,63323068810,113.2,2.0
GA2038,2024-01,65219047220,117.68,2.0
659494,2024-01,65219047030,94.34,1.0
691630,2024-01,63323062625,55.47,1.0
OH2276,2024-01,63323082474,0.0,0.0
600854,2024-01,63323068810,164.28,4.0
VA0135,2024-01,63323053075,70.69,1.0
TX0420,2024-01,65219047910,57.52,2.0
721173,2024-01,63323068610,133.84,4.0
721168,2024-01,63323068810,39.88,1.0
721171,2024-01,63323068310,43.54,1.0
755857,2024-01,63323017876,61.43,1.0
610545,2024-01,63323017876,31.0,1.0
