report_category,manufacturer_normalized,year_quarter,quarter_start,total_observed_spend,share_of_observed_spend,yoy_growth
MRI,GE,2024-Q1,2024-01-01,6587987.649999999,0.3034787095638107,
MRI,PHILIPS,2024-Q1,2024-01-01,1453774.0699999998,0.06696877744768222,
MRI,CANON,2024-Q1,2024-01-01,227677.75,0.010488081252913688,
MRI,SIEMENS,2024-Q1,2024-01-01,9287122.409999996,0.42781560535377544,
MRI,OTHER,2024-Q1,2024-01-01,4151674.785,0.191248826381818,
MRI,SIEMENS,2024-Q2,2024-04-01,27478216.539999995,0.5858559184143076,
MRI,CANON,2024-Q2,2024-04-01,131662.18000000002,0.0028071351454722147,
MRI,PHILIPS,2024-Q2,2024-04-01,4500530.8100000005,0.09595464855611181,
MRI,OTHER,2024-Q2,2024-04-01,1944943.4899999995,0.041467635024244505,
MRI,GE,2024-Q2,2024-04-01,12847333.589999998,0.2739146628598638,
MRI,GE,2024-Q3,2024-07-01,7445665.830000001,0.2507212514439521,
MRI,SIEMENS,2024-Q3,2024-07-01,14975774.799999997,0.5042859946883756,
MRI,OTHER,2024-Q3,2024-07-01,5189447.01,0.17474658121331174,
MRI,PHILIPS,2024-Q3,2024-07-01,690552.8599999999,0.02325329677700566,
MRI,CANON,2024-Q3,2024-07-01,1395546.84,0.046992875877354914,
MRI,CANON,2024-Q4,2024-10-01,499657.45999999996,0.011931425148048336,-0.647804464916992
MRI,SIEMENS,2024-Q4,2024-10-01,28830965.070000004,0.6884606539822327,0.3377925794336132
MRI,GE,2024-Q4,2024-10-01,7532192.551999998,0.17986280367929494,-0.21492318167599042
MRI,PHILIPS,2024-Q4,2024-10-01,676216.95,0.016147526192777237,-0.8708764250376072
MRI,OTHER,2024-Q4,2024-10-01,4338401.199999999,0.10359759099764683,0.5940898407974123
MRI,GE,2025-Q1,2025-01-01,18266393.907999996,0.3208512498566384,1.7726818686431507
MRI,OTHER,2025-Q1,2025-01-01,6314483.899999999,0.11091461520641485,0.5209485874987675
MRI,CANON,2025-Q1,2025-01-01,1050868.46,0.018458621911041338,3.615595770776898
MRI,SIEMENS,2025-Q1,2025-01-01,29472348.980000004,0.5176851027121748,2.1734640375005045
MRI,PHILIPS,2025-Q1,2025-01-01,1826940.2899999998,0.032090410313730625,0.2566879047443734
MRI,GE,2025-Q2,2025-04-01,7906211.472,0.20079257229348757,-0.38460292817849984
MRI,CANON,2025-Q2,2025-04-01,224442.08000000002,0.005700113478333321,0.7046814810448983
MRI,PHILIPS,2025-Q2,2025-04-01,1374909.3399999999,0.034918315052241404,-0.6945006271382465
MRI,SIEMENS,2025-Q2,2025-04-01,22118507.05,0.5617395817946241,-0.1950530334528034
MRI,OTHER,2025-Q2,2025-04-01,7750949.669999999,0.19684941738131367,2.9851798830412295
MRI,SIEMENS,2025-Q3,2025-07-01,24890828.830000006,0.5310997130343602,0.6620728584941068
MRI,PHILIPS,2025-Q3,2025-07-01,2068535.68,0.044136686389696846,1.995477681462358
MRI,GE,2025-Q3,2025-07-01,11668477.05,0.2489722160370108,0.5671502477300945
MRI,CANON,2025-Q3,2025-07-01,191307.93,0.004081968801365842,-0.8629154360737903
MRI,OTHER,2025-Q3,2025-07-01,8047433.6000000015,0.17170941573756618,0.5507304698347815
Monitoring,PHILIPS,2023-Q4,2023-10-01,29145144.519999985,0.6172707072063378,
Monitoring,SIEMENS,2023-Q4,2023-10-01,11329.2,0.00023994333914807592,
Monitoring,GE,2023-Q4,2023-10-01,10492414.298,0.22222089135924292,
Monitoring,NIHON KOHDEN,2023-Q4,2023-10-01,1121538.6540000003,0.023753286165342533,
Monitoring,OTHER,2023-Q4,2023-10-01,4675025.767999996,0.09901328367203485,
Monitoring,SPACELABS,2023-Q4,2023-10-01,1770694.6730000013,0.03750188825789382,
Monitoring,OTHER,2024-Q1,2024-01-01,4360266.486000002,0.12634610031695298,
Monitoring,SPACELABS,2024-Q1,2024-01-01,3065010.6700000004,0.08881387108511493,
Monitoring,NIHON KOHDEN,2024-Q1,2024-01-01,4604334.939999998,0.1334183968089906,
